nome_organizacao,descricao_organizacao,categoria_organizacao,segmento_atuacao,tecnologias_disruptivas,fase_negocio,papel_no_ecossistema,M1_Agro,M2_Saude,M3_Infra_Mobilidade,M4_Transformacao_Digital,M5_Bioeconomia_Energia,M6_Defesa_Soberania,missoes_finais,cadastro_aprovado,autorizacao_divulgacao,cidade_sede,uf_sede,logo_url,site_organizacao,email_contato,fase_investimento_busca,incentivos_fiscais_municipio,orgao_responsavel_cti,tipo_organizacao,contato_divulgacao_cientifica,possui_nit,areas_expertise,tese_investimento,num_startups_investidas,programas_desenvolvimento,modelo_negocio,segmentacao_clientes,numero_funcionarios,fase_investimento_captada,busca_investimento,linkedin_url,preferencia_segmento,beneficios_programa,investimento_medio_startup,exige_equity
PRONTUEI HEALTH SOFTWARE INOVA SIMPLES LTDA,Somos um app que simplifica a organização e gestão da vida médica dos Brasileiros,Startup,Saúde,Big Data,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,0,1,0,1,0,0,"M2 Saude, M4 Transformacao Digital",Sim,Sim,Nova Lima,MG,https://i.postimg.cc/d13KkMj9/icone-fundo-verde.png,https://prontuei.com.br/,pedromelocostaa@gmail.com, , , , , , , , , ,SEED,Assinatura (Receitas recorrentes através de compras repetidas),"B2C (empresa para consumidor), B2B2C (empresa para empresa para o consumidor - quando há primeiramente uma relação de venda entre empresas, para só depois atingir o cliente final)",2-10 funcionários,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Não,https://www.linkedin.com/company/prontuei/,,,, 
Rotulus,Somos uma empresa voltada para a atuação em psicologia criminal ,Startup,Direito,API,"Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,0,0,0,0,0,0,,Sim,Sim,Belo Horizonte,MG,https://i.postimg.cc/sgC5MSkK/Fundo-preto.jpg,https://www.rotuluspsicriminal.com.br,rotuluspsicriminal@gmail.com,Pré-Seed (Investimento total de 100 mil a 400 mil reais), , , , , , , , ,SEED,Serviços,"B2B2C (empresa para empresa para o consumidor - quando há primeiramente uma relação de venda entre empresas, para só depois atingir o cliente final)",2-10 funcionários,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Sim,https://br.linkedin.com/in/rotulus-psicologia-criminal-9b4152260,,,, 
M3 Lending,https://m3lending.com.br/,Startup,Finanças,Nenhuma,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital,Sim,Sim,Belo Horizonte,MG,https://i.postimg.cc/nryH60ff/M3-Lending-Azul-Escuro.png,https://m3lending.com.br,contato@m3lending.com.br,Series A (Investimento total de 2 milhões a 7 milhões de reais), , , , , , , , ,"Raja Ventures, SEED",Transacional (permite uma transação financeira em nome de um cliente e cobra uma taxa ou uma porcentagem do valor transacionado),"B2C (empresa para consumidor), P2P",2-10 funcionários,Pré-Seed (Investimento total de 100 mil a 400 mil reais),Sim,https://www.linkedin.com/company/73933079/admin/,,,, 
4MTI SOLUCOES LTDA,"A 4mti desenvolve soluções em tecnologia, coleta e análise de dados de bases governamentais e não governamentais. Somos uma empresa especializada na criação de algoritmos para extração de dados e visualizações interativas em interface web que facilitam as análises dos dados e produção de conhecimento.
O que torna a 4MTI Soluções única é sua abordagem personalizada, que garante que cada cliente tenha uma solução adaptada às suas necessidades específicas de negócios. A empresa tem um forte foco em resultados e busca entender as necessidades e desafios de seus clientes para fornecer soluções que realmente tragam benefícios e resultados.
Com uma equipe dedicada ao suporte técnico, treinamento e capacitação de equipes, gestão de projetos e serviços gerenciados, a 4MTI Soluções garante que seus clientes tenham todo o suporte necessário para implementar e utilizar suas soluções.",Startup,"Construção, Direito, Energia, Finanças, Gestão de negócios, Gestão de riscos, Governo, Imóveis, Indústria 4.0, Logística, Mineração, Regulamentação e compliance, Saúde, Seguros, Tecnologia da informação, Turismo, Vendas","Big Data, Machine Learning","Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital,Sim,Sim,Belo Horizonte,MG,https://i.postimg.cc/90cwYQWM/e6d426cf-37ca-4a5e-9a79-a135d12fef03.png,https://4mti.com.br/,lucas.dutra@4mti.com.br,Series A (Investimento total de 2 milhões a 7 milhões de reais), , , , , , , , ,"HACKBRAZIL, BRAZILLAB, GOVTECH, INOVA SVS, PROGRAMA CONECTA UNIMED E INNOVATION DAY","SaaS (Disponibiliza softwares e soluções de tecnologia como um serviço, por meio de soluções hospodadas em nuvem)","B2B (empresa para empresa), Governos",11-50 funcionários,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Sim,https://www.linkedin.com/company/4mti/,,,, 
Saúde Agora Tecnologia ltda,"Transformar positivamente a relação do profissional de saúde com a
gestão do seu consultório/clínica. Entregando tecnologia por
automatização de processos. Através de um software que otimiza e
acelera a jornada do paciente e do profissional de saúde. 
Crescendo a base de clientes ativos.",Startup,Saúde,"Big Data, Machine Learning","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,0,1,0,0,0,0,M2 Saude,Sim,Sim,Belo Horizonte,MG,https://i.postimg.cc/cLcSS8hG/logo-saude-agora.png,https://www.saudeagora.com.vc/prestador,lnfigueiredo@gmail.com, , , , , , , , , ,InovAtiva,Assinatura (Receitas recorrentes através de compras repetidas),B2B (empresa para empresa),2-10 funcionários,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Não,https://www.linkedin.com/company/appsaudeagora/,,,, 
CONTROL FLUX MATERIAIS ELETRICOS LTDA,"Startup de base tecnológica que promove sustentabilidade através de eficiência hídrica e energética, atuando com hardwares de fabricação própria e plataforma IoT de monitoramento e gestão de água e energia.",Startup,"Cidades inteligentes, Construção, Energia, Gestão de resíduos, Indústria 4.0, Sustentabilidade","IOT (Internet das Coisas), Machine Learning","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,0,0,1,0,1,0,"M3 Infra Mobilidade, M5 Bioeconomia Energia",Sim,Sim,Belo Horizonte,MG,https://i.postimg.cc/K85wSDhN/01.png,https://www.controlflux.com.br/,gustavo@controlflux.com.br,Seed (Investimento total de 400 mil a 2 milhões de reais), , , , , , , , ,"Energy Nest, FCJ Venture Builder, InovAtiva, Raja Ventures, SEED",Assinatura (Receitas recorrentes através de compras repetidas),"B2B (empresa para empresa), B2G (empresa para a administração pública)",2-10 funcionários,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Sim,https://www.linkedin.com/company/control-flux/?viewAsMember=true,,,, 
H3aven,Governança Soberana para corporações e governos. Visibilidade e eficiência em processos e contratos. ,Startup,"Aeroespacial, Agronegócio, Cidades inteligentes, Construção, Educação, Energia, Gestão de negócios, Gestão de riscos, Governo, Indústria 4.0, Logística, Mineração, Reciclagem, Regulamentação e compliance, Saúde, Segurança, Tecnologia da informação","Big Data, Blockchain, Deep Learning, Machine Learning","Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,0,0,1,1,1,0,"M3 Infra Mobilidade, M4 Transformacao Digital, M5 Bioeconomia Energia",Sim,Sim,Belo Horizonte,MG,https://i.postimg.cc/B6x5JQ9L/LOGO-H3-AVEN-ALTERNATIVA-DEGRADE.png,https://h3aven.com/,reach@h3aven.com,Series A (Investimento total de 2 milhões a 7 milhões de reais), , , , , , , , ,"FIEMG Lab, SEED","SaaS (Disponibiliza softwares e soluções de tecnologia como um serviço, por meio de soluções hospodadas em nuvem)","B2B (empresa para empresa), B2B2C (empresa para empresa para o consumidor - quando há primeiramente uma relação de venda entre empresas, para só depois atingir o cliente final), B2G (empresa para a administração pública)",11-50 funcionários,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Sim,https://br.linkedin.com/company/h3aven,,,, 
beGREEN2TRAVEL,"Ajudamos os viajantes a criar suas viagens sustentáveis de uma forma fácil, rápida e divertida, e que consigam ao final da sua viagem saber o quanto ela gerou de legado positivo aos destinos, suas comunidades, meio-ambiente, economia e cultura locais. Utilizamos um sistema de gamificação que gera pontos por cada experiência de turismo sustentável adquirida, esses pontos podem ser trocados por descontos ou experiências de viagem. Também oferecemos a possibilidade que os viajantes zerem a pegada de carbono de sua viagem através de reflorestamento e até mesmo participando do plantio dessas árvores. ",Startup,"Tecnologia da informação, Turismo","Deep Learning, Machine Learning","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,0,0,0,0,1,0,M5 Bioeconomia Energia,Sim,Sim,Belo Horizonte,MG,https://i.postimg.cc/RCLhwGBG/Logo-begreen.jpg,https://begreen2travel.com/,joao.braga@personal2travel.com, , , , , , , , , ,SEED,"Marketplace (Atua como intermediário na venda de bem ou serviço entre vendedores e consumidores, geralmente cobrando taxa ou porcentagem do valor total transacionado)","B2B (empresa para empresa), B2C (empresa para consumidor), B2G (empresa para a administração pública)",2-10 funcionários,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Não,https://www.linkedin.com/company/begreen2travel/,,,, 
FINTAX SAFE LTDA,IDTECH,Startup,"Educação, Finanças, Gestão de negócios, Segurança","Big Data, Deep Learning, Machine Learning","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,0,0,0,1,0,1,"M4 Transformacao Digital, M6 Defesa Soberania",Sim,Sim,Pouso Alegre,MG,https://i.postimg.cc/T1gzXcKd/LOGO-TRANSPARENTE.png,http://www.fintaxsafe.com,thiago.reis@fintaxsafe.com,Pré-Seed (Investimento total de 100 mil a 400 mil reais), , , , , , , , ,Nenhum,"SaaS (Disponibiliza softwares e soluções de tecnologia como um serviço, por meio de soluções hospodadas em nuvem)","B2B (empresa para empresa), B2C (empresa para consumidor), B2B2C (empresa para empresa para o consumidor - quando há primeiramente uma relação de venda entre empresas, para só depois atingir o cliente final), B2G (empresa para a administração pública)",0-1 funcionário,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Sim,https://www.linkedin.com/company/86809647,,,, 
Valor Crucial Treinamento,"A Valor Crucial Treinamentos é uma empresa voltada a educação online de profissionais com foco em segurança do trabalho. O objetivo dos cursos são os atendimentos das Normas Regulamentadoras em Segurança do trabalho assim como demandas de certificação em qualidade. Como diferencial a Valor Crucial utiliza novas tecnologias como vídeos em animação, simuladores de realidade virtual e criação de conteúdo em mundos virtuais.",Startup,Educação,Vídeo em animação - Realidade Virtual,"Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital,Sim,Sim,Belo Horizonte,MG,https://i.postimg.cc/k4rDdqKz/1024x1024.png,https://valorcrucial.com.br/,eduardo@valorcrucial.com.br,Seed (Investimento total de 400 mil a 2 milhões de reais), , , , , , , , ,SEED,Venda de matricula,B2B (empresa para empresa),0-1 funcionário,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Sim,https://www.linkedin.com/company/valor-crucial,,,, 
Gamefic,"Através da diversão, aumentamos o engajamento das pessoas, melhorando os resultados da sua companhia, por meio de relatórios de engajamento, acompanhamento de rankings, cruzamento de métricas, gerenciamento dos jogos, criação de indicadores, etc.
Somos uma empresa com 6 anos de experiência, que tem um produto testado e aprovado pelo mercado e que busca escalar para o mercado nacional e internacional.",Startup,Jogos,Machine Learning,"Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital,Sim,Sim,Uberlândia,MG,https://i.postimg.cc/T3fpfFTP/Whats-App-Image-2023-04-25-at-18-00-49-1.jpg,https://www.gamefic.me/,henrique.santana@gamefic.com.br,Seed (Investimento total de 400 mil a 2 milhões de reais), , , , , , , , ,"Raja Ventures, SEED","SaaS (Disponibiliza softwares e soluções de tecnologia como um serviço, por meio de soluções hospodadas em nuvem)",B2B (empresa para empresa),11-50 funcionários,Pré-Seed (Investimento total de 100 mil a 400 mil reais),Sim,https://www.linkedin.com/company/gamefic/,,,, 
"THOD - EVENTOS DE ESPORTES DE AVENTURA, TURISMO, LAZER E CULTURAIS LTDA ","Plataforma de turismos, cultura e esportes de aventura",Startup,"Cidades inteligentes, Entretenimento, Esporte, Negócios sociais, Rede social, Sustentabilidade, Tecnologia da informação, Turismo",Nenhuma,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,0,0,1,1,1,0,"M3 Infra Mobilidade, M4 Transformacao Digital, M5 Bioeconomia Energia",Sim,Sim,Belo Horizonte,MG,https://i.postimg.cc/y6S5QQjZ/Logo-PS-THOD-Caminhante-verde.png,https://thod.com.br,gilberto10rg@gmail.com, , , , , , , , , ,SEED,"Marketplace (Atua como intermediário na venda de bem ou serviço entre vendedores e consumidores, geralmente cobrando taxa ou porcentagem do valor total transacionado)","B2B (empresa para empresa), B2C (empresa para consumidor), B2G (empresa para a administração pública)",0-1 funcionário,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Não,https://www.linkedin.com/in/thod-trip-hobbies-and-outdoors-a990a9253/,,,, 
Tech Fleet Locadora Digital S/A.,"A UseCar Carsharing oferece soluções de mobilidade urbana inovadoras e personalizadas, tecnológicas e sustentáveis que geram eficiência para empresas e impactam positivamente a vida das pessoas e a sociedade. Por meio da tecnologia, nosso propósito é viabilizar a mobilidade como indústria, permitindo que pessoas, bens e negócios se movimentem de maneira cada vez mais eficazes e sustentáveis.",Startup,"Cidades inteligentes, Mobilidade","IOT (Internet das Coisas), Machine Learning","Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,0,0,1,0,1,0,"M3 Infra Mobilidade, M5 Bioeconomia Energia",Sim,Sim,Belo Horizonte,MG,https://i.postimg.cc/Y96kYkKf/UCC-ROXO-NO-TRANSP.png,https://usecarcarsharing.com.br/,marco@usecargo.mobi,Investimentos totais acima de 7 milhões de reais, , , , , , , , ,FIEMG Lab,"Baseado em uso (precificação do serviço é baseada no uso de um cliente durante um determinado período, denominado pelo que é o serviço da empresa (ex:, valor por uso de API, etc))","B2B (empresa para empresa), B2C (empresa para consumidor), B2B2C (empresa para empresa para o consumidor - quando há primeiramente uma relação de venda entre empresas, para só depois atingir o cliente final)",11-50 funcionários,Seed (Investimento total de 400 mil a 2 milhões de reais),Sim,https://linkedin.com/in/marcopf,,,, 
XGO SOLUCOES,Consultoria e desenvolvimento tecnologico,Média e Grande Empresa,"Educação, Tecnologia da Informação e Comunicação (TIC)",,,Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital,Sim,Sim,Machado,MG,https://i.postimg.cc/qMhMYXsR/LOGO-XGO-GRUPO-ZAP.png,http://www.xgosolucoes.com.br,rafael@xgosolucoes.com.br, , , , , , , , , ,A XGO é uma empresa que tem expertise em Pesquisa e Desenvolvimento na área de telecomunicações e tecnologia da informação,,,,,Não,,,,, 
MAFER Telecom,"MAFER TELECOM é uma empresa do segmento de redes de telecomunicações, fundada em 2010, que atua como um elo entre grandes players do mercado de redes de telecomunicações e os provedores de Internet. A empresa acompanha seus clientes no caminho da transformação digital, em busca de viabilizar as necessidades do mercado ISP por meio de parcerias tecnológicas e integração de soluções inovadoras em Redes de Telecomunicações.

A MAFER TELECOM está situada no Arranjo Produtivo Local (APL) de Eletroeletrônicos de Santa Rita do Sapucaí, sul de Minas Gerais, cidade conhecida como O Vale da Eletrônica. Atualmente conta com 9 colaboradores, a sua maioria com formação superior. A empresa mantém fortes laços com o Instituto Nacional de Telecomunicações (INATEL), escola onde a colaboradora e coordenadora deste projeto cursa o Doutorado em Redes de Telecomunicações, com ênfase em Inteligência Artificial e Internet das Coisas.

Como marco relevante, podemos destacar a participação no projeto de crescimento da infraestrutura de telecomunicações via fibra ótica na cidade de Guarulhos realizado em 2022 em parceria com a empresa TechFibers e a implantação da rede digital da BRF Foods em parceria com a multinacional Cirion Technologies. Atualmente, a empresa trabalha na análise de viabilidade técnica e implantação de mais de 5.000 pontos em todo o território nacional da rede digital do Banco Bradesco, mais uma parceria com a Cirion Technologies.",Empresa de Base Tecnológica (EBT),Telecomunicações,"Deep Learning, IOT (Internet das Coisas), Visão Computacional",Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,0,0,1,1,0,0,"M3 Infra Mobilidade, M4 Transformacao Digital",Sim,Sim,Santa Rita do Sapucaí,MG,https://i.postimg.cc/Jz4czYfz/logo.png,https://mafertelecom.com.br,mafersolucoes@gmail.com,Pré-Seed (Investimento total de 100 mil a 400 mil reais), , , , , , , , ,Nenhum,"Enterprise (vende serviços ou software para outras empresas com base em uma licença única, regulados por contratos vigentes)",B2B (empresa para empresa),2-10 funcionários,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Sim,https://www.linkedin.com/company/mafer-telecom/about/,,,, 
Organic Soluções Pesquisa Desenvolvimento e Inovação LTDA,"Empresa: A “ORGANIC Soluções” é uma entidade que tem em seu DNA a
criação de soluções de base tecnológica de alta inovação e alto valor aos seus clientes e à
comunidade. Sua missão é viabilizar projetos tecnológicos originários de ideias inovadoras.
Entre seus serviços, está o suporte à inovação, ao desenvolvimento de software e hardware,
ao empreendedorismo, à pesquisa científica e tecnológica no ambiente produtivo e à
integração entre empresas e centros de pesquisa públicas ou privadas. A empresa também
tem o foco em gerenciar, profissionalmente, o processo de transferência de conhecimentos e
tecnologias, por meio de contratos, licenças e outras formas de comercialização, além de fazer
suporte de gestão e administrativo para realização de projetos de PD&I utilizando leis
pertinentes e vigentes no país. A Organic também dá suporte para a validação da solução e
Modelagem do Negócio, construção e validação do MVP/PROTÓTIPO. Por estar inserida no
Vale da Eletrônica, um Arranjo Produtivo Local de empreendedorismo tecnológico, localizado
no sul de Minas Gerais, a Organic Soluções possui network com diversas outras empresas de
tecnologia e centros de pesquisas e universidades de ponta como o Instituto Nacional de
Telecomunicações (INATEL) e a Universidade Federal de Itajubá (UNIFEI). Além disso, a
empresa é uma startup incubada na Incubadora de Empresas de Base Tecnológica (INCIT) da
UNIFEI.

Fundada em 2015, a Organic Soluções é uma empresa que tem em seu DNA a criação de
soluções inovativas de base tecnológica, valorizando o trabalho transparente, ético e
comprometido, prezando pela iniciativa e empreendedorismo, a inovação, o conhecimento e a
responsabilidade social.
O alto valor e impacto gerados pela Organic Soluções é reflexo do emprenho com que executa
a sua missão de gerar soluções em Tecnologia da Informação e promover a produtividade,
contribuindo assim para o desenvolvimento em nível local, regional e nacional.
Atualmente, a empresa conta com 45 colaboradores e presta serviços de excelência
relacionados ao suporte à inovação, pesquisas científicas, desenvolvimento tecnológico no

ambiente produtivo e integração entre empresas e centros de pesquisa públicas ou privadas. A
Organic Soluções tem a expertise para gerenciar o processo de transferência de
conhecimentos e tecnologias, por meio de contratos, licenças e outras formas de
comercialização, além de fazer suporte de gestão administrativa para realização de projetos de
PD&I, além do suporte prestados à empresas para o desenvolvimento de tecnologias e
soluções.
A empresa é uma startup incubada na Incubadora de Empresas de Base Tecnológica (INCIT),
vinculada à Universidade Federal de Itajubá (UNIFEI) e está inserida no Vale da Eletrônica, um
Arranjo Produtivo Local de empreendedorismo tecnológico localizado no sul de Minas Gerais,
o que proporciona à Organic Soluções um network com empresas de tecnologia, instituições
públicas, centros de pesquisas e universidades, como o Instituto Nacional de
Telecomunicações (INATEL) e UNIFEI.",Startup,Tecnologia da informação,Blockchain,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,1,0,0,0,1,0,"M1 Agro, M5 Bioeconomia Energia",Sim,Sim,Itajubá,MG,https://i.postimg.cc/mgVRmRHx/organic.jpg,https://www.organicinova.com.br,contato@organic-inova.com.br, , , , , , , , , ,InovAtiva,"SaaS (Disponibiliza softwares e soluções de tecnologia como um serviço, por meio de soluções hospodadas em nuvem)","B2B2C (empresa para empresa para o consumidor - quando há primeiramente uma relação de venda entre empresas, para só depois atingir o cliente final)",11-50 funcionários,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Não,https://www.linkedin.com/in/organic-inova%C3%A7%C3%A3o-018051274/,,,, 
ENERGETICA RESÍDUOS & ENERGIA,"A ENERGÉTICA RESÍDUOS & ENERGIA é uma especialista em automação 4.0 e no desenvolvimento de soluções inovadoras para o aumento da eficiência energética e ambiental industrial nos segmentos de resíduos e de energia. Possui uma estrutura científica e tecnológica de ponta. Nosso foco atual é reduzir desperdício no setor de Óleo & Gás contribuindo para reduzir os custos operacionais, as emissões de Gases de Efeito Estufa e a melhoria na saúde dos funcionários e das comunidades no entrono dos empreendimentos.",Startup,"Agronegócio, Energia, Gestão de resíduos, Indústria 4.0, Sustentabilidade","IOT (Internet das Coisas), Machine Learning","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,1,0,0,0,1,0,"M1 Agro, M5 Bioeconomia Energia",Sim,Sim,Viçosa,MG,https://i.postimg.cc/L87zyHX2/logo-Energ-tica-PNG.png,https://energeticaweb.com.br/,baltazar@energeticaweb.com.br,Series A (Investimento total de 2 milhões a 7 milhões de reais), , , , , , , , ,Petrobras Conexões para Inovação - SEBRAE,"SaaS (Disponibiliza softwares e soluções de tecnologia como um serviço, por meio de soluções hospodadas em nuvem)",B2B (empresa para empresa),2-10 funcionários,Seed (Investimento total de 400 mil a 2 milhões de reais),Sim,https://www.linkedin.com/search/results/all/?fetchDeterministicClustersOnly=true&heroEntityKey=urn%3Ali%3Afsd_profile%3AACoAABD7OucBgn-3rEc6ZS-hJj1ZyakZ6GyplAI&keywords=baltazar%20dos%20reis&origin=RICH_QUERY_SUGGESTION&position=0&searchId=e4589c35-4968-44e2-b9ea-79e6d61b279e&sid=wU%3B,,,, 
BVC Serviços e Soluções LTDA ,"A BVC é uma empresa de pesquisa e desenvolvimento. Ela desenvolve softwares, aplicativos e sistemas de todos os tipos.",Startup,Tecnologia da informação,"Blockchain, Impressão 3D, Realidade aumentada","Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital,Sim,Sim,Itajubá,MG,https://i.postimg.cc/c4Q0ZzhD/logo-bvc3.jpg,https://bvcsolucoes.com.br/,contato@bvcsolucoes.com.br, , , , , , , , , ,InovAtiva,Hardware (vende dispositivos físicos para consumidores ou empresas),"B2B2C (empresa para empresa para o consumidor - quando há primeiramente uma relação de venda entre empresas, para só depois atingir o cliente final)",0-1 funcionário,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Não,https://www.linkedin.com/in/bvc-solu%C3%A7%C3%B5es-e-pesquisa-36a25a273/,,,, 
FORSEE,"Plataforma de soluções de IA e IoT que tem melhorado vendas, estoques, produtividade e lucro de indústrias, distribuidores e varejos de 30 a 300% em até 4 meses com sucesso em TODOS os casos.",Startup,"Alimentos, Automóveis, Finanças, Gestão de negócios, Indústria 4.0, Logística, Moda, Pets, Varejo, Vendas","Big Data, IOT (Internet das Coisas), Machine Learning","Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,1,0,0,1,0,0,"M1 Agro, M4 Transformacao Digital",Sim,Sim,Betim,MG,https://i.postimg.cc/SR0nmkJT/Logo-For-SEE-2.png,http://www.forsee.com.br,mj.marcio@gmail.com,Series A (Investimento total de 2 milhões a 7 milhões de reais), , , , , , , , ,FIEMG Lab,"SaaS (Disponibiliza softwares e soluções de tecnologia como um serviço, por meio de soluções hospodadas em nuvem)",B2B (empresa para empresa),2-10 funcionários,Pré-Seed (Investimento total de 100 mil a 400 mil reais),Sim,https://www.linkedin.com/company/manufaturaavancada/mycompany/?viewAsMember=true,,,, 
FORSEE,"Plataforma de soluções de IA e IoT que tem melhorado vendas, estoques, produtividade e lucro de indústrias, distribuidores e varejos de 30 a 300% em até 4 meses com sucesso em TODOS os casos.",Startup,"Alimentos, Automóveis, Finanças, Gestão de negócios, Indústria 4.0, Logística, Moda, Pets, Varejo, Vendas","Big Data, IOT (Internet das Coisas), Machine Learning","Escala (Nesta fase a startup possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,1,0,0,1,0,0,"M1 Agro, M4 Transformacao Digital",Sim,Sim,Betim,MG,https://i.postimg.cc/RF4JkBqM/forsee.png,http://www.forsee.com.br,marcio@forsee.com.br, , , , , , , , , ,"AHK, Troposlab",SaaS,B2B,2-10 funcionários,,Não,https://www.linkedin.com/company/manufaturaavancada/,,,, 
Educomunicação,Pesquisa sobre estratégias de ensinoaprendizagem.,Startup,Educação,IOT (Internet das Coisas),"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital,Sim,Sim,Patos de Minas,MG,https://i.postimg.cc/T20BM4n8/black-yellow-minimalist-Idea-Logo.png,https://m.facebook.com/102075095371693/,wesleyaraxa@yahoo.com.br,Pré-Seed (Investimento total de 100 mil a 400 mil reais), , , , , , , , ,Node.js,Aplicativo/plataforma de educação,B2B (empresa para empresa),0-1 funcionário,Recurso próprio ou bootstrap (Investimento total de até 100 mil reais),Sim,https://www.linkedin.com/in/wesley-almeida-1a583175/,,,, 
