nome_organizacao,descricao_organizacao,categoria_organizacao,segmento_atuacao,tecnologias_disruptivas,fase_negocio,papel_no_ecossistema,M1_Agro,M2_Saude,M3_Infra_Mobilidade,M4_Transformacao_Digital,M5_Bioeconomia_Energia,M6_Defesa_Soberania,missoes_previstas
GF Tech Business,"Start up no ramo de marketing digital e desenvolvimento de aplicativos, mais de 3 anos de mercado, trazendo soluções para mais de 30 empresas. Captação de clientes nas redes sociais é o nosso cargo chefe. Em contra partida o desenvolvimento de aplicações que resolvam alguns problemas da sociedade. ",Empresa de Base Tecnológica (EBT),"Mobilidade, Negócios sociais, Publicidade, Segurança, Vendas",Blockchain,"Escala (Nesta fase a EBT possui taxas de crescimento elevadas, já possui processos mais estruturados e busca se expandir para novas praças, como públicos, localidades, segmentos, etc)",Executores Diretos das Missões,0,0,1,1,0,0,"M3 Infra Mobilidade, M4 Transformacao Digital"
Economarket ,"Plataforma de intermediação de vendas e conexão entre lojista e o cliente do ramo varejista de alimentos. A solução reúne de forma fácil e intuitiva a possibilidade de acesso a preços e produtos de diversos comerciantes de uma mesma localidade pré definida pelo usuário, o recebimento de forma simples e completa de orçamentos e comparativos de economia, dando destaque aos alimentos e produtos próximos ao vencimento e por fim, a oportunidade de realização da compra. Como resultado da proposta  nossa solução recebeu o prêmio de  1º lugar do programa de Pre Aceleração de Startups de Nova Lima em parceria com o Inovatech do 2º semestre de 2023.  Atualmente estamos na fase de Aceleração do mesmo programa, otimizando e aprimorando nossos processos e MVP. ",Startup,"Alimentos, Logística, Sustentabilidade, Varejo, Vendas","IOT (Internet das Coisas), Machine Learning",Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,0,0,0,0,0,0,
MMR Internacional Ltda,Torrefação de cafés especiais em cápsulas de alumínio padrão Nespresso,Startup,Agronegócio,Big Data,"Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,1,0,0,0,1,0,"M1 Agro, M5 Bioeconomia Energia"
Unimed Uberlândia,"Trata-se de uma cooperativa de trabalho médico, que vende e opera planos de saúde, com mais de 135 mil clientes na região.",Média e Grande Empresa,Saúde,,,Executores Diretos das Missões,0,1,0,0,0,0,M2 Saude
Victor Hugo Silva Vila Nova LTDA,"Gostaríamos de participar do edital da Fapemig - Compete Minas.

Nossa empresa trabalha com tecnologia da informação, atendendo empresas e contabilidades de pequeno, médio e grande portes de todos os segmentos e regimes tributários.

Estamos a 20 anos ajudando empresários a conquistar a maturidade e compliance nos seus negócios, através de nossas soluções de inteligência fiscal e tributária.",Empresa de Base Tecnológica (EBT),Tecnologia da informação,ROBOTIZAÇÃO DE OPERAÇÕES,"Operação (Fase em que a EBT atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
Vitali Life,Empresa de Inovação em Saúde e Beleza e Bem Estar,Startup,"Indústria 4.0, Saúde, Varejo",Nanotecnologia,"Operação (Fase em que a startup atua de forma a consolidar um número considerável de primeiros clientes, mas ainda sem processos definidos)",Executores Diretos das Missões,0,1,0,0,0,0,M2 Saude
PRO EFICIENCIA SOLUÇÃO PARA AGRONEGÓCIOS SA,"A PONTA é o resultado da multiplicação de esforços de duas empresas pioneiras da modernização da pecuária brasileira, a INTERGADO e da GESTÃO AGROPECUÁRIA. No ano de 2019 em algumas interações em clientes em comum, ficou muito claro que as soluções de INTERGADO e GESTÃO AGROPECUÁRIA eram extremamente sinérgicas e que caso as tecnologias fossem usadas em conjunto haveria outra revolução tecnologia para a pecuária nacional.
Sobre a INTERGADO:
A INTERGADO foi idealizada para fazer parte da transformação do agronegócio brasileiro. Desde a primeira reunião de idealização da empresa, realizada ainda no ano de 2009, acreditávamos que o “agro brasileiro” seria transformado a partir da adoção das tecnologias de precisão. Só mesmo a partir da coleta e análise de dados de forma sistemática, toda a cadeia do agro, em especial a pecuária, passaria a tomar decisões de forma ágil e precisa, e o foco das ações nas propriedades rurais passaria a ser a máxima eficiência dos sistemas produtivos.
Somos pioneiros no desenvolvimento de soluções de pecuária de precisão para bovinocultura no Brasil. Atualmente, possuímos 03 patentes concedidas pelo INPI (PI 0903245-2; BR102013010031-5; e BR1020170069133) e mais 05 depósitos de patente ainda no período de sigilo ou análise (BR102019004750-0; BR 10 2019 012348 6; BR 10 2019 024447 0; BR; BR102022014310 2; BR102023013958 2).
Fomos inovadores ao lançar o primeiro sistema de monitoramento animal baseado em pesagem voluntária (Balanças eletrônicas instaladas em frente ao bebedouro garantem pesagem diária dos animais). A partir desta solução, conseguimos indicar o melhor momento para abate dos animais potencializando o lucro dos produtores em até 30%. Além disso, detectamos precocemente animais doentes a partir da redução e peso e alteração de comportamento, o que está diretamente relacionado com as novas demandas do mercado para o bem-estar animal.
Sobre a GESTÃO AGROPECUÁRIA:
A pecuária de corte é uma operação de alta complexidade que envolve estoque vivo (animais) em constante movimentação e submetido a diversas interações com pessoas e outros animais, clima, máquinas, dispositivos, dentre outros que impactam no seu desempenho.
Para gerir um negócio rural sustentável é fundamental ter o controle preciso de toda a operação da porteira para dentro – gestão de contratos de compra e venda de insumos e de animais, modalidades de negócios dentro da fazenda, processos e manejos, estoque e movimentação de animais e insumos (alimentos e medicamentos), equipamentos, gestão de pessoas e desempenho da equipe, etc – além de analisar e entender o impacto de cada uma dessas variáveis no desempenho do animal e nos custos de produção.
A partir do controle eficiente da operação o produtor tem condições de cruzar as informações de mercado com as informações internas e identificar as melhores oportunidades de negócio. Este cenário ideal de gestão só é possível se o empresário rural tiver ferramentas que gerem informação relevante e confiável, em tempo real e em condições de ser analisada facilmente para ser bem usada. E é aí que entra a inteligência da GESTÃO AGROPECUÁRIA.
A GESTÃO AGROPECUÁRIA é uma empresa de inteligência tecnológica que atua na gestão agropecuária orientada à informação. Tem como foco captar, armazenar, gerenciar e analisar grandes volumes de dados para entregar insights que orientem as decisões de empresários rurais sobre seus negócios desde a originação, passando pelo processo produtivo até a comercialização.
Sobre a PONTA:
No dia 28/02/2022 as duas empresas se fundiram para conciliar tecnologias expandindo as fronteiras tecnológicas. Hoje a PONTA está presente em mais de cem centros de pesquisa, tendo mais de 3,6 milhões de cabeças confinadas em fazendas sendo monitoradas, com mais de três mil equipamentos instalados e em 6 Países e conta com uma equipe de P&D de mais de vinte e cinco profissionais dedicados a evoluir as tecnologias da empresa e criar novas.",Empresa de Base Tecnológica (EBT),Agronegócio,"Big Data, IOT (Internet das Coisas), Machine Learning, Pecuária de Precisão","Tração (Início da consolidação e repetição de processos para áreas da EBT, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,1,0,0,0,1,0,"M1 Agro, M5 Bioeconomia Energia"
MAM Desenvolvimento de Sistemas,Desenvolvimento de softwares personalizados,Startup,"Esporte, Saúde","IOT (Internet das Coisas), Machine Learning","Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,0,1,0,1,0,0,"M2 Saude, M4 Transformacao Digital"
IMERSOL,A IMERSOL SERVICE se dedica à prestação de serviços técnicos de engenharia principalmente na área da geração de energia solar fotovoltaica e desenvolvimento de software de projetos e gestão de usinas solares.,Empresa de Base Tecnológica (EBT),"Construção, Energia, Tecnologia da informação","Big Data, Deep Learning, Machine Learning",Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,1,0,1,1,1,0,"M1 Agro, M3 Infra Mobilidade, M4 Transformacao Digital, M5 Bioeconomia Energia"
BotAtende,"A BotAtende é uma plataforma de automação de atendimento e relacionamento com o cliente que utiliza assistentes de atendimento com inteligência artificial para criar interações que geram resultados.  Nossa vantagem é a criação de agentes a partir de uma biblioteca plug/play. Estes assistentes são capazes de interagir com linguagem natural, conseguem ouvir e falar e podem ser utilizados para suporte ao cliente, canais de SAC, entre outros. Também possuímos tecnologia de aprendizado continuo. Com nossos agentes, o cliente consegue ter alta disponibilidade, respostas personalizadas e próximas de uma conversa natural, além de automatizar processos com integrações entre plataformas.  Nossos agentes podem ser treinados para interagir desde a captação até o fechamento de venda diretamente no canal conversacional. Com isso, conseguimos potencializar os resultados relacionados aos atendimentos em diversos canais de comunicação.",Startup,"Negócios sociais, Tecnologia da informação, Varejo, Vendas","Big Data, IA generativa","Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
TCS INDUSTRIAL,"A TCS Industrial é uma empresa líder em tecnologia industrial com mais de 20 anos de experiência em automação de chão de fábrica. Contamos com uma equipe diversificada de engenheiros, cientistas da computação, gestores e pesquisadores. Nossas soluções de Indústria 4.0, como Inteligência Artificial, Sistemas de Visão e IoT, otimizam diversas etapas do processo produtivo, incluindo inspeção de produção, controle de qualidade e monitoramento de máquinas. Nossos principais produtos que incluem o VISION uma solução de visão para inspeção de linhas de produção com alta precisão e velocidade; o 
KEEPER uma solução de visão para inspeção de uso de EPI e controle de acesso em áreas de risco; o TRACE uma solução customizável para rastreamento de produção em máquinas ou linhas de montagem; o MMI uma plataforma modular para monitoramento de máquinas e processos através de tecnologia IoT; o MMI Utilitiesconsiste em um módulo do MMI para monitoramento de utilidades; o EVO uma solução para acesso, edição e compartilhamento de documentos, projetos e normativos através de QR Code.
Nossas soluções são altamente customizáveis e robustas, superando as alternativas existentes no mercado, que muitas vezes oferecem soluções paliativas. Desenvolvemos softwares robustos que permitem o uso de hardwares de baixo custo, oferecendo flexibilidade para adaptar as soluções às necessidades e estrutura de cada cliente, incluindo empresas nos setores de Siderurgia, Automotivo, Alimentos e Bebidas, Florestal e Papel & Celulose.
",Média e Grande Empresa,"Agronegócio, Alimentos e Bebidas, Mineração e Metalurgia, Transporte e Automotivo",,,Executores Diretos das Missões,1,0,0,1,0,1,"M1 Agro, M4 Transformacao Digital, M6 Defesa Soberania"
Broto Bambu Ltda,"Disponibilizar bambus tratados com qualidade comprovada, rastreabilidade e ganhos sócio-econômicos para os envolvidos. Em maio de 2020 obteve aprovação no Centelha - MG, em junho de 2020 iniciou a incubação na Indetec/UFSJ, elaborou  e validou seu primeiro Produto Mínimo Viável na sequência e realizou sua venda pioneira em novembro de 2022.",Startup,"Educação, Negócios sociais, Sustentabilidade, Vendas",Nenhuma,"Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,0,0,0,0,1,0,M5 Bioeconomia Energia
TCS INDUSTRIAL ,"A TCS Industrial é uma empresa líder em tecnologia industrial com mais de 20 anos de experiência em automação de chão de fábrica. Contamos com uma equipe diversificada de engenheiros, cientistas da computação, gestores e pesquisadores. Nossas soluções de Indústria 4.0, como Inteligência Artificial, Sistemas de Visão e IoT, otimizam diversas etapas do processo produtivo, incluindo inspeção de produção, controle de qualidade e monitoramento de máquinas. Nossos principais produtos que incluem o VISION uma solução de visão para inspeção de linhas de produção com alta precisão e velocidade; o 
KEEPER uma solução de visão para inspeção de uso de EPI e controle de acesso em áreas de risco; o TRACE uma solução customizável para rastreamento de produção em máquinas ou linhas de montagem; o MMI uma plataforma modular para monitoramento de máquinas e processos através de tecnologia IoT; o MMI Utilitiesconsiste em um módulo do MMI para monitoramento de utilidades; o EVO uma solução para acesso, edição e compartilhamento de documentos, projetos e normativos através de QR Code.
Nossas soluções são altamente customizáveis e robustas, superando as alternativas existentes no mercado, que muitas vezes oferecem soluções paliativas. Desenvolvemos softwares robustos que permitem o uso de hardwares de baixo custo, oferecendo flexibilidade para adaptar as soluções às necessidades e estrutura de cada cliente, incluindo empresas nos setores de Siderurgia, Automotivo, Alimentos e Bebidas, Florestal e Papel & Celulose.
",Média e Grande Empresa,"Agronegócio, Alimentos e Bebidas, Mineração e Metalurgia, Transporte e Automotivo",,,Executores Diretos das Missões,1,0,0,1,0,1,"M1 Agro, M4 Transformacao Digital, M6 Defesa Soberania"
JUST REALTOR CORRETORA DE IMOVEIS LTDA,"Desenvolver um aplicativo para a área imobiliária, vinculado à um site, que traga inovação e praticidade tecnológica para o processo de compra e venda de imóveis, facilitando a conexão entre comprador e vendedor, sem intermediação de corretores e imobiliárias, desde à inserção do imóvel no aplicativo até a conclusão com o registro do imóvel, sendo o Aplicativo uma ferramenta de intermediação, otimizando os custos de toda operação, trazendo benefícios para as partes envolvidas, com uma comissão mais atrativa em função das facilidades que o aplicativo oferece, sem abrir mão da segurança jurídica e eficiência na prestação dos serviços. ",Startup,"Imóveis, Vendas","Machine Learning, Realidade aumentada",Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,0,0,1,1,0,0,"M3 Infra Mobilidade, M4 Transformacao Digital"
V EVENTOS BRASIL LTDA,"V EVENTOS BRASIL LTDA, tem por objeto o gerenciamento de franquias e rede de negócios, licenciamento de marcas, assessoria e consultoria empresarial, gestão de recursos de terceiros, organização e produção de eventos, agência de publicidade e de artistas, atividades de intermediação e agenciamento de serviços e negócios locação de mão de obra temporária.
",Média e Grande Empresa,Turismo e lazer,,,Executores Diretos das Missões,0,0,0,1,0,0,M4 Transformacao Digital
Appia,"A Appia é uma empresa especialista em utilizar a Inteligência Artificial como um meio de acelerar e potencializar os processos das empresas.

Nascemos da inquietude da busca de uma transformação digital efetiva. Com experiência de mais de 20 anos em estratégia de tecnologia, voltamos todos nossos esforços para desenvolver uma metodologia que auxilie as empresas a se transformarem internamente e criarem um diferencial competitivo para todo o mercado e, muitas vezes, criando novos negócios, por meio da cocriação.

Temos uma equipe multidisciplinar, com ampla experiência no mercado corporativo, capacitada para apoiar empresas dos mais diversos portes e áreas de atuação.

Nossos profissionais são devidamente qualificados e certificados por diversos fabricantes e instituições das áreas de Ciência de Dados e Inteligência Artificial, atuando devidamente suportados e respaldados pelas melhores práticas de gerenciamento e gestão.

Nesses anos de existência, criamos várias soluções utilizando IA, voltadas para compras, estoque e até estádios de futebol.",Startup,"Alimentos, Gestão de negócios, Indústria 4.0, Mineração, Tecnologia da informação, Varejo, Vendas","Big Data, Deep Learning, Machine Learning","Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,1,0,0,1,0,0,"M1 Agro, M4 Transformacao Digital"
Irrigação sem fronteiras,"A plataforma de IRRIGAÇÃO ASSISTIDA POR SOFTWARE (IAS) acelera e aumenta a assertividade no desenvolvimento de projetos de irrigação se comparada às ferramentas convencionais (planilhas). Especialmente em grandes áreas, nas quais a elaboração da versão definitiva do projeto é complexa, a IAS se destaca simplificando o preenchimento dos dados técnicos. A grande dor que a IAS soluciona é a falta de concentração de informações em um ambiente único, ademais, pela alta concentração de informações em planilhas esparsas, isso gera demora e confusão de preenchimento. Na IAS o preenchimento é intuitivo, segue uma ordem lógica e as informações ficam todas no mesmo ambiente o que poupa tempo na geração do resultado. A característica principal da IAS é melhorar a experiência do usuário, já que a plataforma auxilia na determinação do tamanho ideal do equipamento de irrigação e no diâmetro mais eficiente para a adutora. Ainda, otimiza a utilização da água, o que reduz o impacto ambiental, aumenta a produtividade agrícola e melhora o custo-benefício da implementação e manutenção do sistema de irrigação. Logo, a IAS é um compilado tecnológico de metodologias validadas no segmento, as quais não estão acessíveis no mercado. O protótipo está pronto e validado (comercial e tecnicamente) por 12 usuários pagantes, dentre eles engenheiros agrônomos, agrícola, ambiental e civil e consultores em energia solar que participam de estudos de caso e dão feedbacks. O diferencial mais significativo da IAS em relação ao que já existe no mercado é a disponibilidade. Atualmente, empresas e fabricantes de produtos e maquinários para sistemas de irrigação têm suas próprias planilhas ou softwares para projetos disponíveis apenas para aqueles que revendem seus produtos. A IAS disponibilizará o software para todos os profissionais que tiverem interesse em adquiri-lo com um custo-benefício justo e uma melhor experiência relacionada a aspectos operacionais e de utilização de tempo.
A estratégia de mercado da IAS se baseará no uso eficiente de tráfego pago em redes sociais. A empresa já aplicou a metodologia para conquistar os primeiros assinantes com um investimento inicial de R$ 300,00. Conseguimos impactar 10.000 pessoas, gerando 100 contatos e convertendo 12 em early adopters pagantes. Este resultado evidencia um retorno sobre o investimento e um forte potencial de mercado. Quanto à proposta de valor, a IAS se diferencia da concorrência por oferecer uma solução mais completa, adaptar-se às necessidades do mercado brasileiro, ter um público mais amplo e possuir uma interface amigável e intuitiva. Além disso, o baixo custo de treinamento destaca a IAS frente a soluções baseadas em planilhas. A viabilidade financeira é comprovada pelo interesse inicial e conversões já realizadas. Segundo dados da ANA (Ag. Nac. de Águas) nos anos de 2019 a 2020 foram implantados em torno 3700 projetos de irrigação para pivô central, a capacidade produtiva atual do Brasil é de 8 a 12 mil pivôs por ano e o crescimento da área irrigada com pivô central foi de 225% em 12 anos. Estimamos um faturamento no primeiro ano de operação de R$ 1.120.000,00, atingindo 10% do mercado brasileiro, com um valor de assinatura de R$ 2.000,00 anuais. Já contamos com os seguintes recursos: dois estagiários , um desenvolvedor full stack (R$ 42.000,00/ano), um profissional de marketing (R$ 42.000,00/ano), um gestor (R$ 16.000,00/ano), um contador (R$ 3.600,00/ano) e assessoria jurídica (R$ 16.000,00/ano). Também alocamos R$ 12.000,00 anuais para hospedagem e serviços digitais. Os indicadores utilizados são: a taxa de conversão de leads, o número de assinantes ativos, o retorno sobre o investimento no negócio a fidelização do cliente. Ambos refletem o interesse do mercado e a eficácia da estratégia adotada.
",Startup,Agronegócio,"Big Data, Machine Learning","Tração (Início da consolidação e repetição de processos para áreas da startup, como vendas, marketing, recursos humanos, sucesso do cliente etc)",Executores Diretos das Missões,1,0,1,0,1,0,"M1 Agro, M3 Infra Mobilidade, M5 Bioeconomia Energia"
Rentis Negocios Online,"A Rentis é uma plataforma online que facilita o aluguel de objetos entre usuários.
Conectamos pessoas interessadas em economizar alugando itens/objetos ao invés de comprar, com pessoas que possuem itens/objetos não utilizado e que que desejam ganhar dinheiro extra. Alugar ao invés de comprar oferece economia. Para quem tem pouco espaço, alugar evita acumular objetos e reduz o consumo desnecessário. É ideal para uso temporário, como em viagens e itens utilizados ocasionalmente. Estamos em fase de pre-seed",Startup,"Sustentabilidade, Varejo",Nenhuma,Ideação (Fase de concepção da ideia até consolidação do Mínimo Produto Viável - MVP para um nicho de mercado específico),Executores Diretos das Missões,0,0,0,1,1,0,"M4 Transformacao Digital, M5 Bioeconomia Energia"
