nome_organizacao,descricao_organizacao,segmento_atuacao,tecnologias_disruptivas
Loovi,"Prazer, nós somos a Loovi. Uma empresa brasileira feita por pessoas!
 
 A Loovi é diferente. Não somos uma seguradora nem associação. A Loovi é uma garantia inteligente. Uma alternativa para quem não quer desperdiçar tempo e dinheiro com serviços que dificilmente serão utilizados. Em caso de furto e roubo, nosso dispositivo permite a recuperação rápida do carro e, caso não seja possível, pagamos 100% do valor na tabela FIPE por meio da compra do documento. Nossos planos também oferecem uma ampla assistência 24h em todo Brasil. Tudo para nunca deixar nossos clientes na mão.
 
 A Lóovi incentiva e investe em um ambiente colaborativo e de inovação com um time de pessoas jovens, antenadas e dinâmicas. Venha colaborar também. 
 
 Conecte-se com a Loovi.",Seguros,
Loja CAOS,"Atuando no mercado da moda desde os anos 80, estamos presentes em mais de 500 dos melhores pontos de vendas do Brasil e exterior, sempre cuidando criteriosamente na elaboração de cada peça, para que seja objeto de desejo e valorização da mulher.",Têxtil e Vestuário,
Lavemcasa,"Somos uma lavanderia por aplicativo que facilita a vida do cliente. Sem perder mais tempo lavando e passando roupas, é só precisa baixar o aplicativo, agendar a data e o horário da coleta e entrega e a Lavemcasa busca, lava, passa e entrega.",Gestão de negócios,
Kapsula,"NÓS DESENVOLVEMOS A SUA MARCA
 A Kapsula lança sua marca a partir do zero. Nós somos a solução definitiva em logística e produção de nutracêuticos.
 A Kapsula já lançou inúmeras marcas, em inúmeros segmentos do mercado, para empresas de todos os portes, de várias regiões do Brasil e em todos os modelos de negócios. Venha construir conosco mais uma história de sucesso!!! dhhuearestuantedduicivarames comodoromodosistalessterualez",Saúde,
IzyB,"A izyB, por meio de conceitos de economia circular, se propõe a fortalecer o mercado feminino: gerando renda para mulheres do mercado de beleza e fazendo o dinheiro circular entre mulheres. É simples: conectamos profissionais de beleza a clientes, que podem ser atendidas onde estiverem ou no salão de beleza mais próximo (alugando espaços de salão ociosos). Parte do valor dos serviços é revertido para projetos de educação e empreendedorismo feminino.",Gestão de negócios,
Indenizar,Unimos clientes com problemas de voos cancelados ou atrasados a advogados em todo o Brasil.,Direito,
Grupo Melhor Compra,Conosco você pode fazer suas compras pelo próprio celular. Temos convênio com estabelecimentos que entregarão os produtos em sua casa! Evitando assim vários problemas que enfrentamos quando precisamos fazer nossas compras.,Alimentos,
Grupo Algar,"O que você e a sua empresa precisam? Nós estamos prontos para te atender! ✉
Algar, nome formado pelas iniciais de seu fundador – Comendador Alexandrino Garcia – é um Grupo empresarial com atuação nos setores TIC, Entretenimento e Agro em todo o território nacional, na Argentina, Colômbia e no México. Cerca de 19 mil associados - como são chamados os colaboradores – se superam para conquistar a confiança de seus 2 milhões de clientes pelo compromisso de servir com agilidade e desenvolver soluções inovadoras que contribuam no alcance de resultados cada vez melhores. É assim que a Algar é Gente servindo Gente e um Grupo perene, desde 1930. O portfólio é composto pela Algar Telecom, Algar Tech, Algar Farming e Aviva, que engloba Rio Quente Resorts e Costa do Sauípe.
Investe em negócios de caráter disruptivos por meio da Algar Ventures e, ao mesmo tempo, amplia a produtividade, reduz custos e gera ganhos em escala com o Centro de Soluções Corporativas – CSC Algar. Um mundo mais evoluído e justo é feito por gente e educação. Está é uma causa do grupo Algar. Assim, sob a gestão do Instituto Algar, investe na formação de alunos e professores da rede pública municipal. Em sua universidade corporativa – UniAlgar –prepara lideranças e forma sucessores para os desafios do presente e futuro, evolui e fortalece a Cultura para garantir a competitividade e atrair talentos. Este é, também, o jeito Algar de servir.
Reconhecido internacionalmente por seu modelo de governança corporativa com práticas de gestão e do capital para geração de valor, o grupo Algar é membro do Latin American Companies Circle of Corporate Governance e do FBN, Family Business Network.","Tecnologia da Informação e Comunicação (TIC), Agronegócio",
Gruller,"A GRULLER, é uma empresa voltada para a confecção de calçados femininos, contando com estrutura adequada a grande produção para o atendimento de milhares de consumidores no Brasil e no Exterior.",Têxtil e Vestuário,
GNRx,"Ajudamos a sua empresa a prevenir autos de infração em Segurança do Trabalho. Através do nosso software, o GNRX, saiba quais as normas regulamentadoras se aplicam ao seu ramo de atividade de uma forma inteligente e inovadora. Obtenha check-lists enxutos e otimizados de acordo com a “visão do auditor do Ministério do Trabalho”.
Gere relatórios com uma velocidade sem precedentes. Acompanhe indicadores consolidados da situação da SST na sua empresa. Controle a produtividade dos seus técnicos e muito mais.",Gestão de negócios,
GetMalas,"GetMalas é um serviço de aluguel de malas de viagem fundado em 2013 no Brasil. Nosso objetivo é oferecer uma alternativa de consumo mais consciente e econômica através de um processo totalmente online e com franquias por todo Brasil, e em expansão pela América Latina.
GetMalas is a luggage rental service founded in 2013 in Brazil. Our goal is to offer a more conscious and economical consuming alternative through a 100% online process with franchisees in Brazil and in expansion through Latin America.
GetMalas es un servicio de alquiller de valijas fundado en 2013 en Brasil. Nuestro objetivo es ofrecer una alternativa de consumo más consciente y económico a través de un proceso totalmente online, con franquicias por todo Brasil y en expansión en América Latina.",Logística,
Funday,A FUNDAY é o jeito mais seguro de buscar passeios e atividades de lazer e turismo. Aqui você encontra os serviços melhor avaliados e comentados por quem realmente entende de curtir a vida: nossos clientes.,Turismo,
Foozi,Peça pelo aplicativo e receba seu prato na hora de cozinheiros qualificados | Disponível na App Store e Google Play | foozi.com,Alimentos,
Flowins,Possibilitamos um relacionamento em rede para o café; com foco na valorização de hábitos mais sustentáveis.,Agronegócio,
Faxina.Online,"A Faxina.Online é uma empresa profissional de limpeza e faxina de ambientes, entre outros facilities, localizada em Divinópolis/MG, especializada em pequenos e médios serviços e criada por Larissa Moura e Felipe Gonçalves.
Carregada em uma plataforma online e orientada ao consumidor, dá à ele o controle sobre demanda, agenda e forma de pagamento, através de uma solicitação rápida e prática.
Beneficiado com os equipamentos necessários e produtos de uso profissional, o cliente recebe como serviço final, na data e hora escolhidas, um ambiente higienizado, por profissionais altamente qualificados, com os produtos corretos e controlados por processos eficazes em livrar de uma vez por todas das dores de cabeça quanto à limpeza.",Gestão de negócios,
Fab.,"A Fab. é uma multimarcas que une tradição com informação de moda, fast fashion e produtos de qualidade a preços super especiais.",Têxtil e Vestuário,
Escola Ninja WP,"Encontre um Profissional WordPress
A Escola Ninja WP ajuda você a encontrar o profissional certo para o seu projeto",Educação,
Elfutec,"A ELFUTEC foi arquitetada, estruturada e desenvolvida para compartilhar conhecimentos, desenvolver e aplicar cursos e-learning, semipresenciais e presenciais, facilmente assimiláveis e aplicáveis a várias áreas da sociedade.",Educação,
Edur,"A Edur é movida à facilitar a Jornada de pessoas com Síndrome de Down e demais limitações cognitivas na busca pela autonomia através da incrível união entre educação e tecnologia. Temos como objetivo mudar o cenário da educação especial proporcionando, de fato, inclusão através da tecnologia. Todo nosso trabalho é voltado a mudar o mindset do mercado e da família para levarmos maior independência a essas pessoas através de conteúdos e parcerias, sempre visando a importância que um ensino de qualidade têm em suas vidas.",Educação,
Dojo Desenvolvimento Profissional,a DOJO Desenvolvimento Profissional consolida sua atuação na produção e distribuição de treinamentos profissionais no setor industrial automobilístico.,Educação,
Clube Rota Gourmet,"Um clube gourmet que se associando, você descobre uma rota gastronômica dos melhores restaurantes da cidade com um benefício inacreditável: sempre um prato da sua escolha, com 100% de desconto. Não é cupom, é todo dia.",Turismo,
Cliente Fiel,"A Cliente Fiel oferece aos seus clientes, em especial os do segmento de alimentação fora do lar, a oportunidade de criar um vínculo próximo e duradouro com seus consumidores através de um canal de delivery e estratégias de fidelidade integradas por aplicativo.",Alimentos,
Casa Beta,"A Casa Beta é uma plataforma de conteúdo digital que tem como missão inspirar e
ensinar mulheres a incorporarem a criatividade em suas vidas. A empresa acredita que
todas as mulheres podem ser mais criativas em todos os aspectos da vida, desde a
realização de um trabalho manual, a decoração da casa, uma entrevista de emprego
até as relações pessoais. Afinal de contas, ninguém nasce sabendo. Estamos em
constante processo de desenvolvimento, em beta. Daí, o nome da empresa.",Educação,
Carona - Delas para Elas,"O aplicativo surgiu devido a uma necessidade de segurança que a maioria das mulheres buscam. As fundadoras, Mayara Soldati e Lana Maini Miranda, passaram por um assédio ao utilizarem outro aplicativo de mobilidade urbana e decidiram dar um fim nisso além de ajudar outras mulheres que estavam na mesma situação.
A partir daí, criaram um aplicativo pensado nas mulheres e nas dificuldades que elas enfrentam todos os dias, desde levar o filho na escola até ter que enfrentar o medo de pegar um carro com um motorista homem.",Logística,
Cancelou.com,"Consultoria sobre direitos dos passageiros em casos de cancelamentos e atrasos de voos, extravio de bagagens, overbooking e outros.",Direito,
Cada Semana um Bar GV,"Cada semana um Bar GV auxilia a população
Valadarense a encontrar um local para sair ou
pedir comida.",Tecnologia da informação,
Cachaçaria Nacional,"A Cachaçaria Nacional foi a pioneira e atualmente é a Maior Loja On-line (e-commerce) de Cachaças do Brasil. Distribuímos mais de 2 mil rótulos de Cachaças Artesanais de Alambique, ligando os pequenos produtores do Brasil à casa de todos os Brasileiros apaixonados pela bebida, seja pela compra direta em nossa loja, seja através do nosso Clube de Assinaturas de Cachaças, o ClubeCN.",Varejo,
Cachaça Express,"O CACHAÇA EXPRESS pode ser considerada a melhor loja virtual de cachaças, acessórios e produtos afins da internet brasileira.
Há mais de 8 anos no mercado de Cachaças, conseguimos entender as necessidades dos eternos apaixonados por essa bebida legitimamente verde e amarela e resolvemos lançar as vendas online.
Além da cachaça, nosso produto principal, reunimos num só lugar vários produtos inéditos, sendo a maioria deles de origem artesanal e procedentes de várias localidades do País. Todos os produtos são adquiridos diretamente com os produtores, o que garante a qualidade e os preços competitivos. O site conta com o que existe de mais moderno em termos de tecnologia web, com a melhor e mais qualificada operação logística dedicada a este produto (que necessita de total carinho e atenção). Tudo isso com a máxima segurança e respeito pelo cliente.",Tecnologia da informação,
Bicha da Justiça,"Somos a primeira startup do Brasil que representa a luta pelos direitos da comunidade LGBTI+, através de um portal online, que oferece assessoria jurídica livre de LGBTfobia.",Direito,
AZAPFY,Plataforma de gestão de transporte e entrega de mercadorias.,Logística,
Armário Compartilhado,Alugue os vestidos de festa mais lindos de Belo Horizonte. Tem vestido parado no Armário? Compartilhe o seu e ganhe a cada aluguel.,Moda,
Aquila,"O Instituto Aquila é uma consultoria internacional que oferece soluções gerenciais de excelência global, focadas na melhoria dos resultados de seus clientes.
 
 Com atuação em 19 países da América, Europa e Oceania, possui mais de 1.200 projetos em carteira, apoiados por escritórios no Brasil, Colômbia, Austrália, Suíça e Portugal. Mantém um Centro de Estudos em Zurique, onde são conduzidas pesquisas e desenvolvidas inovações em gestão.
 
 A equipe é composta por cerca de 500 profissionais, liderados por seis referências técnicas e 90 sócios seniores com elevado grau de experiência e especialização acadêmica diferenciada.
 
 A consultoria investe, também, na transferência de conhecimento por meio da Escola de Gestão Aquila, que dispõe de um completo programa de treinamentos orientados para a aplicação prática e eficaz das soluções gerenciais no ambiente organizacional do aluno. Investe, ainda, na construção de ferramentas de gestão com o Aquila Tech.","Educação, Tecnologia da Informação e Comunicação (TIC)",
123Milhas,"A 123Milhas é uma empresa brasileira de emissão de passagens aéreas com milhas. Buscamos mudar as relações de consumo oferecendo para nossos clientes a possibilidade de viajar pagando menos em passagens aéreas com transparência e responsabilidade. 
 
 
 Unindo tecnologia avançada à uma excelente equipe, a 123Milhas está crescendo e demonstra a necessidade de inovar e oferecer bons preços e atendimento de qualidade para os clientes. 
 
 
 Com nossos preços, milhares de pessoas fizeram a viagem dos sonhos, reencontraram a família e conheceram novos lugares e culturas. Fazer com que mais gente tenha novas experiências é o nosso objetivo!","Mobilidade, Turismo",
Neft,A Neft oferece tecnologia de atendimento ao cliente através de videochamadas,"Governo, Mobilidade, Tecnologia da informação",Videochamadas
TEC PECAS,"A Tec Pecas é uma plataforma 100% na nuvem com foco em facilitar o processo de cotação e compras de produtos e serviços nas empresas, conectando compradores e fornecedores de forma simples e inteligente. Gerando redução de custo e eficiência nas operações através da digitalização do processo de compras. Validação da solução com redução de até 90% de esforço no processo de compras, aumento de 70% no número de cotações por produto, 72% de variação média entre maior e menor cotação, confirmando a importância de realizar boas cotações e 12% de saving atual.","Agronegócio, Construção, Varejo",Big Data
Jolifox School,"A Jolifox School é uma empresa de cursos e soluções tecnologicas. A empresa fornece serviços de desenvolvimento de software, consultoria em TI, formação de profissionais, dentre outros. O objetivo da Jolifox School é formar profissionais no âmbito teórico e prático para que estes obtenham destaque nas áreas correlatas a tecnologia. Através da atuação em projetos reais e prática constante bem como uma metodologia de ensino inovadora, a empresa prepara seus alunos para os diversos desafios que o profissional de tecnologia enfrenta em seu dia a dia.",Tecnologia da informação,Nenhuma
AYUB VOGAS TECNOLOGIAS LTDA,"A PAZU é uma plataforma que conecta tutores de animais e prestadores de serviços do ramo e tem como proposta ser reconhecida como um portal pet que ofereça praticidade, otimização de tempo, conexão com transparência e confiabilidade para ambos. Atualmente, é possível que qualquer prestador de serviço do ramo pet se cadastre (como veterinários, dog walkers, pet shops, adestradores, dentre muitos outros) para ficar visível para tutores que estejam buscando o seu tipo de serviço. No entanto, estamos expandindo a plataforma para que, além de ser uma ""vitrine"" utilizada para captar novos clientes, a plataforma seja também gerencial, permitindo o agendamento e controle de todos os atendimentos (inclusive os feitos fora da plataforma) em um calendário integrado, bem com o pagamento pela própria plataforma para controle financeiro. Objetiva-se também a criação de um Clube de Benefícios para fidelização dos clientes. Até o momento tivemos cadastro de 14 prestadores de serviço, de 06 municípios diferentes, e de 30 tutores. Importa ressaltar que desde maio/2022 está ocorrendo uma reestruturação do modelo de negócio da empresa e a elaboração de um plano de marketing, ambos em parceria com uma empresa especializada contratada e, portanto, a equipe não estava focada na captação de novos clientes neste intervalo de tempo.","Pets, Tecnologia da informação",Nenhuma
Granto Seguros,"Mudar o mundo, com simplicidade e humanidade, facilitando o processo para contratação de seguros. Ajudamos mais de 1700 empresas em todo Brasil a simplificar seus processos de contratação de seguros contratuais e judiciais. Nosso foco é varejo B2B, estamos em fase de tração com PMF de Seguro Garantia validado, qual entregamos em 2021 mais de R$ 5.5 Milhões de reais em prêmios emitidos.",Seguros,"Big Data, Machine Learning, APIs e AI"
Trokaí Tecnologia LTDA.,"A dor que o Trokaí ataca é o desconforto que as pessoas sentem ao ver algumas de suas roupas/acessórios que não usam mais paradas dentro de seus armários. O Trokaí oferece um ambiente digital (site e aplicativo), focado em moda onde as pessoas podem trocar ou vender suas roupas. As pessoas estão se tornando mais conscientes sobre a forma como consomem seus produtos, estão pensando mais sobre o consumo desenfreado e como ele afeta o planeta. Nesse contexto, decidimos desenvolver uma solução sustentável, pensando nos conceitos de economia circular e consumo consciente, dentro do nicho da moda. Desde o lançamento do app Trokaí, que foi no início de 2020, aproximadamente 17 mil usuários baixaram o app. Na primeira metade de 2022, lançamos a monetização do nosso negócio e criamos o site do Trokaí. A fase que nos encontramos agora é a de planejar e executar um plano de marketing para aumentar as trocas e vendas do Trokaí.","Moda, Sustentabilidade, Tecnologia da informação","Big Data, Machine Learning"
NetNúcleo Soluções em Tenologia Ltda,"A NetNúcleo é uma empresa de soluções tecnológicas que possui sistemas para gestão de laboratórios FIV, DNA e Beta Caseína, inseminação IATF e controle financeiro para pequenas empresas.
São sistemas que agilizam processos, reduzem custos e geram informações de resultado
Nosso atendimento é diferenciado e garantimos a credibilidade em nossos serviços.
Com foco no setor de fertilização e reprodução Bovina, também desenvolvemos sistemas sob demanda.
Nossos sistemas trabalham na nuvem, sem necessidade de qualquer instalação adicional.","Agronegócio, Tecnologia da informação",Nenhuma
JFNA Consultoria Empresarial Ltda,"A empresa foi criada da necessidade de seu fundador, Jorge Felipe, mehor se estruturar para entregar soluções de consultoria e projetos de TI cada vez mais demandados pelo mercado. Como fruto do seu trabalho de mais de 20 anos de carreira de sucesso em grandes empresas do Brasil e do mundo, apesar de ter apenas 3 anos de fundação, a JFNA apresenta crescimento médio de 25% por ano e com grandes expectativas para o ano de 2022, onde temos projetos de inovação e estamos em fase avançada de negociação de parcerias estratégias para ampliação do segmento de atuação e do volume de negócios realizados.","Agronegócio, Alimentos, Cidades inteligentes, Gestão de negócios, Governo, Indústria 4.0, Reciclagem, Tecnologia da informação","Deep Learning, Machine Learning"
BePet,"Plataforma de Bem-Estar entre pessoas e pets, envolvendo petfood, petcare e petvet em um marketplace único",Pets,Machine Learning
Plataforma Alvo,"A Alvo vem descomplicar a vida de estudantes universitários, por meio de consultorias especializadas para a realização de publicações com maior assertividade. Os serviços prestados incluem: formatação, revisão ortográﬁca, gramatical e estilística e tradução para inglês e espanhol.
Todos os serviços são prestados por pressionais que passaram por um processo de seleção, focado na capacidade para realizar o serviço necessário.","Educação, Negócios sociais",Nenhuma
Alldone Car Service,"A Alldone Car Service é uma empresa de intermediação de serviços automotivos que simplifica a vida de proprietários de veículos que não tem tempo ou não querem levar o carro a uma oficina, proporcionando a estes uma experiência de usuário única. 
Os Analistas de Manutenção Automotiva da Alldone entendem de mecânica, buscam o carro no local de conveniência do proprietário e resolvem QUALQUER questão, levando o carro em oficinas especializadas e entregando no local onde o proprietário indicar.","Automóveis, Mobilidade",Nenhuma
Long Stay Suites,"A Booking para mensalistas em Hoteis, Aoart Hoteis e Flats",Turismo,Nenhuma
AVULTA CONTRATAÇÃO PROFISSIONAL INCLUSIVA,"A Avulta é uma plataforma que conecta pessoas com diversidade funcional a empresas que precisam contratar pela lei de cotas. Fazemos o match profissional por meio da Avaliação Neurocognitiva Avulta (ANA). Uma metodologia inovadora que ressalta o potencial laboral do candidato em um produto denominado Avulta Perfil. O objetivo é destacar perfis profissionais de pessoas com diversidade funcional, baseados em neurocognição, com o intuito de incluir esses profissionais de forma assertiva e não apenas cumprir cotas.","Recursos Humanos, Negócios sociais",Nenhuma
Conveniar,"A Conveniar é especializada em desenvolver a gestão das fundações de apoio a universidades e instituições de pesquisa.
É a empresa líder do setor com a solução implantada em mais de 35% do mercado de fundações de apoio.",Gestão de negócios,Big Data
